A T Still University of Health Sciences,Kirksville,25,www.atsu.edu/,www.atsu.edu/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21722,15000,15000,,60679,77330,70117,71006,0.7961,0.0721,0.0281,0.0299,0.0018,0.0018,0.0299
Aaniiih Nakoda College,Harlem,26,www.ancollege.edu/,www.ancollege.edu/student_services/financial_aid/npc/npcalc.htm,,,,0,0.0882,0,0.0588,0,0,0.1471,0,0.0294,0,0,0,0,0,0,0.0294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588,0,0.1765,0,0,0.2059,0.2059,0,131,7402,,4496,,,,,,,,,,12770,,2410,2410,,,,,13892,,,,0.0611,0,0,0,0.9389,0,0
ABC Adult School,Cerritos,5,https://www.abcadultschool.edu/,https://www.abcadultschool.edu/financialaid/,,,,0,0,0,0,0,0,0.0674,0.1348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0787,0,0,0,0.4045,0.3146,0,77,6500,,,,,,,,,,,,,12327,,,14193,13000,12500,,36381,40877,39435,47302,0.7714,0.0286,0.0857,0.0286,0,0,0.0714
ABC Adult School - Cabrillo Lane,Cerritos,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5500,5458,5500,,26501,32694,30836,40550,,,,,,,
ABC Beauty Academy,Richardson,43,www.abcbeautyacademy.webs.com/,www.abcbeauty.org/NetPrice/npcalc.htm,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,,9024,,,,,,27536,34734,34988,29938,30538,,12295,,,9500,5873,5500,,25693,31881,,38759,0.0847,0.3475,0.4831,0.0085,0,0,0.0593
ABCO Technology,Inglewood,5,www.abcotechnology.edu/,www.abcotechnology.edu/disclosures/NPC,,,,0,0,0,0,0,0,0.594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3233,0,0,0,0,0.0827,0,126,,20748,,,,,,17404,,,,,,25440,,,7917,,,,,,,,0.5333,0.0667,0.0571,0.0095,0.0095,0,0.1333
Abcott Institute,Southfield,22,www.abcott.edu/,abcott.edu/npcalc/npcalc.htm,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,143,,,,,,,,,,,,,,,,,12659,,,,56826,,,,0,0.9756,0.0244,0,0,0,0
Abilene Christian University,Abilene,43,www.acu.edu/,https://www.collegeforalltexans.com/apps/CollegeMoney/index.php,0.6148,25,1164,0.0126,0.005,0.0113,0,0.0593,0,0.0214,0,0.0605,0.0202,0,0.0013,0.0214,0,0.0151,0.0013,0,0.0555,0.005,0,0.0454,0.0492,0,0.0404,0.005,0,0.0492,0.0164,0.0265,0.0214,0,0,0,0,0.0895,0.1198,0.2434,0.0038,3503,,26809,6368,6514,8563,9465,11226,,,,,,49538,,36300,36300,5149,3715,3750,,29711,37817,33185,42782,0.7509,0.0963,0.0753,0.0117,0.0032,0.0015,0.033
Abraham Baldwin Agricultural College,Tifton,10,https://www.abac.edu/,apps.abac.edu/npc/2017-2018/,0.7342,20,1029,0.1896,0.0441,0,0,0,0,0,0,0.0267,0,0,0,0,0,0.004,0.3244,0,0.0614,0,0,0,0,0,0,0,0,0,0.0027,0,0.008,0.004,0.0013,0,0.012,0.0107,0.223,0.0828,0.0053,3480,6933,,11777,11835,13047,,,,,,,,12745,,3565,10471,,,,,32701,25643,40869,33168,0.2589,0.3439,0.3388,0.0279,0.0025,0.0038,0.0241
Abraham Lincoln University,Glendale,5,https://www.alu.edu/,https://www.alu.edu/npcalc/index.html,,,,0,0,0,0,0,0,0.0833,0,0,0,0,0,0,0.4167,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1667,0,0,0,0,0,0,0,0,0.3333,0,54,,15851,,,,,,,,,,,21475,,6258,6258,,,,,,,,,1,0,0,0,0,0,0
Academia Serrant Inc,Ponce,51,www.serrant.edu/,www.serrant.edu/serviciosalestudiante-netcalculator.htm,,,,0.0385,0,0,0,0,0,0,0.4712,0,0,0,0,0.0721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1154,0,0,0,0,0.1058,0,0.101,0.0769,0.0192,0,260,,6081,,,,,,24942,24285,25127,27329,,,10438,,,9574,12106,12273,3,24307,24445,24156,30897,0.2479,0.5556,0.1282,0.0043,0.0385,0,0.0214
